epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.188,1.22273,3.60808,1.31807,0.00367,0.83333,0.19386,0.14643,0.90103,3.47127,1.13272,0.00019998,0.00019998,0.00019998
2,15.2072,1.02432,2.48035,1.19657,0.00415,0.96667,0.35266,0.24631,0.94397,3.23804,1.22652,0.000402931,0.000402931,0.000402931
3,22.319,0.99714,1.93895,1.15995,0.32782,0.89773,0.82565,0.59078,0.93448,3.04533,1.17064,0.000597522,0.000597522,0.000597522
4,28.5234,0.95246,1.70936,1.13876,0.56747,0.66689,0.74431,0.55864,0.97702,2.6366,1.37799,0.000783755,0.000783755,0.000783755
5,35.6381,0.9619,1.65397,1.14842,0.76709,0.68492,0.85346,0.61398,1.0256,2.23724,1.38661,0.000961628,0.000961628,0.000961628
6,41.3667,0.958,1.55751,1.14463,0.93201,0.50367,0.87991,0.62875,0.91161,2.21184,1.46895,0.00100101,0.00100101,0.00100101
7,48.7052,0.97692,1.49571,1.13662,0.76492,0.51361,0.796,0.58605,0.91811,2.23459,1.41926,0.000979013,0.000979013,0.000979013
8,54.4565,0.95153,1.38632,1.13927,0.76855,0.73454,0.76785,0.47723,1.18144,1.61854,1.91407,0.000957015,0.000957015,0.000957015
9,61.7205,0.93923,1.36907,1.15151,0.68197,0.95,0.9489,0.72108,0.91369,1.60693,1.38949,0.000935018,0.000935018,0.000935018
10,67.4507,0.95891,1.34172,1.15112,0.81686,0.9234,0.96129,0.7511,0.80009,0.94383,1.16517,0.00091302,0.00091302,0.00091302
11,74.8967,0.89975,1.20173,1.11076,0.69238,0.95112,0.96657,0.76432,0.87251,0.94907,1.26709,0.000891022,0.000891022,0.000891022
12,80.3743,0.86953,1.13802,1.088,0.87494,0.99833,0.995,0.74729,0.96731,0.75591,1.45135,0.000869024,0.000869024,0.000869024
13,87.6916,0.83839,1.06905,1.05823,0.84151,1,0.995,0.74576,0.86048,0.74596,1.30715,0.000847026,0.000847026,0.000847026
14,93.2123,0.83709,1.04017,1.05637,0.92597,0.81984,0.92278,0.67994,0.91115,0.81003,1.29293,0.000825029,0.000825029,0.000825029
15,100.797,0.87696,1.05553,1.06696,0.90958,0.93431,0.95471,0.60466,0.95019,0.95865,1.47673,0.000803031,0.000803031,0.000803031
16,106.342,0.86063,0.98349,1.05773,0.88395,0.98385,0.975,0.6744,0.90654,0.80212,1.24921,0.000781033,0.000781033,0.000781033
17,113.506,0.80811,0.96743,1.03926,0.88055,0.95382,0.985,0.6964,1.00118,0.78518,1.3378,0.000759035,0.000759035,0.000759035
18,119.104,0.81549,0.98104,1.06625,0.93557,1,0.995,0.74503,0.87574,0.69466,1.23109,0.000737037,0.000737037,0.000737037
19,126.121,0.82562,0.92957,1.06136,0.84601,0.95,0.985,0.6811,1.00501,0.71009,1.39875,0.00071504,0.00071504,0.00071504
20,131.804,0.81776,0.89186,1.07267,0.87807,0.98148,0.995,0.81154,0.80311,0.62764,1.09672,0.000693042,0.000693042,0.000693042
21,137.878,0.74333,0.85657,1.01769,0.93151,0.97983,0.98557,0.83223,0.79399,0.68745,1.14664,0.000671044,0.000671044,0.000671044
22,144.478,0.79198,0.86616,1.03764,0.91793,1,0.99043,0.81139,0.71461,0.72627,1.12437,0.000649046,0.000649046,0.000649046
23,150.568,0.76207,0.79654,1.0353,0.88581,0.9537,0.995,0.81613,0.7686,0.56887,1.21348,0.000627048,0.000627048,0.000627048
24,156.688,0.71247,0.77948,1.01948,0.92887,0.99222,0.995,0.80627,0.7503,0.62941,1.15421,0.000605051,0.000605051,0.000605051
25,162.652,0.76246,0.80761,1.00039,0.94791,0.9837,0.995,0.7777,0.83164,0.56431,1.20579,0.000583053,0.000583053,0.000583053
26,169.663,0.72317,0.7365,1.00563,0.86725,0.99378,0.97833,0.80812,0.75016,0.77546,1.17705,0.000561055,0.000561055,0.000561055
27,175.393,0.72453,0.75242,1.01213,0.89434,0.96277,0.97833,0.80205,0.69989,0.69081,1.12147,0.000539057,0.000539057,0.000539057
28,182.458,0.71472,0.74058,1.01217,0.93879,1,0.995,0.85515,0.66769,0.52932,1.07771,0.000517059,0.000517059,0.000517059
29,188.026,0.72719,0.72922,1.02152,0.93635,0.93734,0.97071,0.76049,0.80249,0.64111,1.16796,0.000495062,0.000495062,0.000495062
30,195.459,0.70237,0.68739,1.00307,0.95862,0.95,0.97833,0.83543,0.74581,0.60918,1.11232,0.000473064,0.000473064,0.000473064
31,201.268,0.67225,0.67735,0.9815,0.96277,0.99113,0.995,0.82718,0.69187,0.57079,1.05539,0.000451066,0.000451066,0.000451066
32,208.27,0.65349,0.64083,0.98052,0.9539,1,0.995,0.84655,0.702,0.49997,1.07813,0.000429068,0.000429068,0.000429068
33,213.853,0.64506,0.63478,0.97033,0.92933,0.95,0.985,0.85077,0.66773,0.56466,1.06731,0.00040707,0.00040707,0.00040707
34,220.995,0.64212,0.61695,0.97745,0.89248,0.99034,0.96614,0.7938,0.67583,0.59349,1.05831,0.000385073,0.000385073,0.000385073
35,226.314,0.65173,0.62231,0.97322,0.88023,0.98803,0.97557,0.78859,0.71508,0.57241,1.08573,0.000363075,0.000363075,0.000363075
36,233.545,0.66368,0.63953,0.99265,0.92364,0.95695,0.99043,0.81408,0.70595,0.52078,1.07915,0.000341077,0.000341077,0.000341077
37,239.444,0.6458,0.60354,0.96467,0.90204,0.98731,0.98071,0.83483,0.6839,0.54159,1.05763,0.000319079,0.000319079,0.000319079
38,246.668,0.58856,0.55296,0.95889,0.8747,0.98561,0.96405,0.82016,0.6599,0.58962,1.09126,0.000297081,0.000297081,0.000297081
39,252.44,0.59036,0.57391,0.95997,0.89825,1,0.97833,0.83987,0.65818,0.51259,1.06676,0.000275084,0.000275084,0.000275084
40,259.106,0.64857,0.58675,0.96605,0.8897,1,0.97833,0.82403,0.65431,0.54483,1.06043,0.000253086,0.000253086,0.000253086
41,268.253,0.67231,0.71503,0.99987,0.87012,0.95,0.97833,0.79358,0.73699,0.58684,1.10001,0.000231088,0.000231088,0.000231088
42,274.952,0.65279,0.69331,0.97111,0.87003,0.96608,0.96583,0.80689,0.67975,0.64322,1.0895,0.00020909,0.00020909,0.00020909
43,280.615,0.61147,0.63733,0.94284,0.90358,0.95,0.97833,0.83146,0.67506,0.52675,1.06563,0.000187092,0.000187092,0.000187092
