epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0139,0.55343,0.66971,0.93059,0.7639,0.80557,0.79411,0.68829,0.54771,0.63698,0.92199,0.000165501,0.000165501,0.000165501
2,46.7662,0.57376,0.68094,0.93488,0.75901,0.79165,0.79209,0.68281,0.58686,0.67405,0.94149,0.000328879,0.000328879,0.000328879
3,69.7709,0.64272,0.75087,0.96748,0.74606,0.7987,0.79356,0.67712,0.593,0.67866,0.93899,0.000488958,0.000488958,0.000488958
4,92.771,0.63542,0.72741,0.96774,0.70792,0.81963,0.78011,0.65949,0.60745,0.70828,0.93635,0.00048515,0.00048515,0.00048515
5,115.556,0.61745,0.6962,0.9511,0.73474,0.81502,0.79422,0.67085,0.60031,0.70873,0.93597,0.0004802,0.0004802,0.0004802
6,138.427,0.60504,0.7344,0.9592,0.76968,0.78788,0.80522,0.67288,0.61995,0.71761,0.95364,0.00047525,0.00047525,0.00047525
7,161.452,0.61962,0.72226,0.95886,0.82838,0.76037,0.78978,0.65757,0.61491,0.72559,0.94231,0.0004703,0.0004703,0.0004703
8,184.435,0.62784,0.71385,0.95949,0.75297,0.75952,0.77475,0.65417,0.61545,0.7071,0.95612,0.00046535,0.00046535,0.00046535
9,207.171,0.61868,0.71059,0.9568,0.74966,0.76104,0.78157,0.66132,0.60685,0.73585,0.95551,0.0004604,0.0004604,0.0004604
10,233.912,0.60607,0.69783,0.96,0.75699,0.75568,0.78564,0.66451,0.61333,0.69783,0.94757,0.00045545,0.00045545,0.00045545
11,256.605,0.61313,0.70293,0.96007,0.75883,0.7801,0.77991,0.66206,0.60605,0.71657,0.95508,0.0004505,0.0004505,0.0004505
12,279.414,0.62605,0.68838,0.95615,0.74854,0.78989,0.77721,0.6561,0.60603,0.66818,0.93888,0.00044555,0.00044555,0.00044555
13,302.136,0.62762,0.70591,0.96666,0.77289,0.79253,0.79072,0.68077,0.59893,0.68925,0.93798,0.0004406,0.0004406,0.0004406
14,324.905,0.60724,0.69118,0.9511,0.73114,0.80959,0.78526,0.67922,0.59089,0.70579,0.93984,0.00043565,0.00043565,0.00043565
15,347.665,0.60256,0.69719,0.95334,0.78878,0.78194,0.80132,0.68796,0.58772,0.64891,0.932,0.0004307,0.0004307,0.0004307
16,370.43,0.59788,0.67053,0.95509,0.78104,0.78267,0.78579,0.68027,0.57569,0.63497,0.93665,0.00042575,0.00042575,0.00042575
17,393.208,0.60973,0.6815,0.95144,0.75073,0.81601,0.79249,0.67642,0.59034,0.66628,0.93791,0.0004208,0.0004208,0.0004208
18,415.986,0.61372,0.67763,0.94921,0.7795,0.78073,0.7958,0.67514,0.60082,0.67215,0.9334,0.00041585,0.00041585,0.00041585
19,438.746,0.619,0.70369,0.96454,0.76312,0.80279,0.78769,0.67143,0.59248,0.68113,0.93735,0.0004109,0.0004109,0.0004109
20,461.722,0.60684,0.66272,0.9537,0.75168,0.81582,0.79154,0.66944,0.59841,0.64302,0.94121,0.00040595,0.00040595,0.00040595
